Issue,Article Title,Abstract,DOI Link,Cambridge Link
Volume 33 - Issue 1 - March 2021,Obviously undergoing change: Adverbs of evidentiality across time and space,"Increasingly globalized communication networks in the modern world may influence traditional patterns of linguistic change: in contrast to an orderly sequential pathway of change, more recently a number of “mega trends” have been identified, which accelerate simultaneously in time and space. The rise of obviously within the cohort of adverbs of evidentiality—naturally, evidently, clearly, and of course—may be one such trend. To examine this possibility, we conduct a large-scale sociolinguistic analysis of c12,000 adverbs of evidentiality across over thirty communities in the UK and Canada. The results reveal parallel development across time and space: obviously advances rapidly among individuals born in the 1960s in both countries. The rise of obviously illustrates key attributes that are beginning to emerge from other rapidly innovating features: “off the shelf” changes that (1) are easily borrowed, (2) receptive to global trends, but (3) exhibit parallel patterns as the change progresses.",https://doi.org/10.1017/S0954394520000216,https://www.cambridge.org/core/journals/language-variation-and-change/article/obviously-undergoing-change-adverbs-of-evidentiality-across-time-and-space/0EFD181D6CE50359D0AFE141FE467099
Volume 33 - Issue 1 - March 2021,Be that as it may: The Unremarkable Trajectory of the English Subjunctive in North American Speech,"The English subjunctive has had a checkered history, ranging from extensive use in Old English to near extinction by Late Modern English. Since then, the mandative variant was reported to have revived, while the adverbial subjunctive continued to diminish. American English is heavily implicated in these developments; it is thought to be leading the revival of the former but lagging in the decline of the latter. Observing that most references to these changes are based on the written language, we examine the diachronic trajectory of the subjunctive in North American English speech. Adopting a variationist perspective, we carried out systematic quantitative analyses of subjunctive use under hundreds of triggers. Results show that, despite the differences in their diachronic trajectories, today both types are not only extremely rare but heavily lexically constrained. We implicate violations of the Principle of Accountability in the disparities between the findings reported here and the consensus in the literature with respect to subjunctive use in North American English.",https://doi.org/10.1017/S095439452100003X,https://www.cambridge.org/core/journals/language-variation-and-change/article/be-that-as-it-may-the-unremarkable-trajectory-of-the-english-subjunctive-in-north-american-speech/271E50A4FBB11FCAA5D6FAE3EBF50B67
Volume 32 - Issue 3 - October 2020,Expression of anaphoric subjects in Vera'a: Functional and structural factors in the choice between pronoun and zero,"The choice between a pronoun and zero anaphor for the expression of third-person subjects is examined in a corpus of Vera'a (Oceanic). While predominantly expressed by a pronoun, subjects are found to permit zero form with referents that have low anaphoric distance. Within this context, zero is found to be preferred with a subset of verbal predicates that take a specific tense-aspect-mood-polarity (TAMP) marker that historically retains subject agreement. The strong preference for pronouns is related to the clitic behavior of adjacent TAMP morphology and the rudimentarity of agreement. Animacy and number also bear on subject variation. Effects of clause-combining and the use of connectives do not align with findings from studies of the same choice in other languages. Our findings underscore the prominent role of purely structural over functional motivations for the choice of pronouns over zero.",https://doi.org/10.1017/S0954394520000125,https://www.cambridge.org/core/journals/language-variation-and-change/article/expression-of-anaphoric-subjects-in-veraa-functional-and-structural-factors-in-the-choice-between-pronoun-and-zero/7C1AA08C1C28D4828FB35F398F739692
Volume 32 - Issue 3 - October 2020,Variable plural marking in Palenquero Creole,"One of the most salient putative African features of Palenquero, an Afro-Hispanic creole spoken in northern Colombia, is the prenominal plural marker ma. However, plural number is not categorically marked with ma, which alternates with bare forms in plural contexts and also occurs in singular contexts. In a principled sample of noun phrases (n = 1,186) from the spontaneous speech of twenty-seven Palenquero-Spanish bilinguals, the rate of ma (versus zero) is 51% in plural and 13% in singular contexts. Singular ma is favored with subjects and specific objects, consistent with an association with definiteness. In plural contexts, where it is robust, selection of ma is favored with specific and generic referents in subject role. This conditioning indicates that plural marking is favored for discourse referential nouns, in accordance with the cross-linguistic generalization that morphological marking tends to appear on instances that approach the prototypical function of a category (Hopper & Thompson, 1984).",https://doi.org/10.1017/S0954394520000204,https://www.cambridge.org/core/journals/language-variation-and-change/article/variable-plural-marking-in-palenquero-creole/6E6BA62752F6F302BA36A7F28CFC2EF7
Volume 32 - Issue 3 - October 2020,The social embedding of a syntactic alternation: Variable particle placement in Ontario English,"The present work investigates the effects of social constraints on word order variation in particle placement in Ontario English, Canada. While previous research has documented numerous linguistic factors conditioning the choice of variant, social correlates have so far remained unexplored. To address this gap, we analyze 6,047 variable phrasal verbs from the vernacular speech of six communities in Ontario. These data were coded for length of the direct object, verb semantics, community, and the individual's education, gender, age, and occupation. Our analyses confirm previous findings that variation in particle placement is predominantly determined by direct object length. However, we also expose significant social and geographic factors, and importantly an effect of age, with younger speakers using the joined variant more than older speakers. Further analysis confirms that the latter effect is consistent across communities, indicating a change in progress, possibly due to ongoing grammaticalization of particles in the verb phrase.",https://doi.org/10.1017/S0954394520000174,https://www.cambridge.org/core/journals/language-variation-and-change/article/social-embedding-of-a-syntactic-alternation-variable-particle-placement-in-ontario-english/E51C10AA59FE04B591ACB1044C0EB8CF
Volume 32 - Issue 3 - October 2020,"Co-variation, style and social meaning: The implicational relationship between (h) and (ing) in Debden, Essex","This paper demonstrates that the differing social meanings held by linguistic features can result in an implicational relationship between them. Rates of (h) and (ing) are investigated in the casual speech of sixty-three speakers from a community with Cockney heritage: Debden, Essex. The indexicalities of h-dropping in Debden (signalling Cockney) are superordinate to and incorporate the indexicalities of g-dropping (working-class, “improper”), resulting in an implicational relationship. H-dropping implies g-dropping, but g-dropping can occur independently of h-dropping. This occurs in terms of co-variation at the between-speaker level and clustering effects at the within-speaker level which is measured through a novel approach using the number of phonemes as the denomination of distance. The features’ differing social meaning are also related to rates of change. Young speakers are shifting away from linguistic features which index Cockney heritage (h-dropping; the [-Iŋk] variant of -thing words) in favor of more general, southeastern, working-class norms (g-dropping).",https://doi.org/10.1017/S0954394520000162,https://www.cambridge.org/core/journals/language-variation-and-change/article/covariation-style-and-social-meaning-the-implicational-relationship-between-h-and-ing-in-debden-essex/00CE5782126F9710DC80D427EE1B93B9
Volume 32 - Issue 3 - October 2020,Escaping the Trap: Losing the Northern Cities Shift in Real Time,"We examine the loss of the Northern Cities Shift raising of trap in Ogdensburg, a small city in rural northern New York. Although data from 2008 showed robust trap-raising among young people in Ogdensburg, in data collected in 2016 no speakers clear the 700-Hz threshold for NCS participation in F1 of trap—a seemingly very rapid real-time change. We find apparent-time change in style-shifting: although older people raise trap more in wordlist reading than in spontaneous speech, younger people do the opposite. We infer that increasing negative evaluation of the feature led Ogdensburg speakers to collectively abandon raising trap between 2008 and 2016. This indicates a role for communal change in the transition of a dialect feature from an indicator to a marker.",https://doi.org/10.1017/S0954394520000137,https://www.cambridge.org/core/journals/language-variation-and-change/article/escaping-the-trap-losing-the-northern-cities-shift-in-real-time/C62D519D813560095D0EB9936A96F77C
Volume 32 - Issue 2 - July 2020,Voice quality and coda /r/ in Glasgow English in the early 20th century,"We present acoustic and auditory analyses of changes to coda /r/ and voice quality in Glasgow English in the early twentieth century. Our initial acoustic analysis suggests that /r/ was weakening across the board based on an increase in F3. However, an auditory analysis of the same data finds no significant changes. An acoustic analysis of the same speakers’ vowels reveals that the shift in F3 is not unique to /r/. It reflects a change in voice quality, which we link to velarization using Vocal Profile Analysis. We then reanalyze the acoustic /r/ data, controlling for voice quality, and find only moderate changes that are restricted to females. These findings provide new evidence for diachronic changes in voice quality, contribute to our understanding of the development of /r/ in Glasgow English, and highlight the importance of investigating speech sounds in their broader context using multiple methodologies.",https://doi.org/10.1017/S0954394520000071,https://www.cambridge.org/core/journals/language-variation-and-change/article/voice-quality-and-coda-r-in-glasgow-english-in-the-early-20th-century/19606DBE232F8F004F3FA65CAD5C0676
Volume 32 - Issue 2 - July 2020,The split of a fricative merger due to dialect contact and societal changes: A sociophonetic study on Andalusian Spanish read-speech,"In line with a growing body of literature suggesting that mergers are reversible given the adequate dialect contact and social context, the present study examines the phonetic split of the Andalusian Spanish merger of ceceo into the Castilian Spanish feature of distinción. Specifically, the study analyzes 19,420 coronal fricatives produced by 80 Western Andalusian speakers from the city of Huelva and the nearby town of Lepe using a reading passage and wordlist. The analyses find that leaders of this change are younger speakers, women, those with more educational attainment, those of service and professional occupations, and those from Huelva. The implications are that large-scale societal changes have allowed for the split of the ceceo merger into distinción in both speech communities, albeit at different rates of change due to their unique socioeconomic histories, demonstrating that a split is possible given the right social context.",https://doi.org/10.1017/S0954394520000113,https://www.cambridge.org/core/journals/language-variation-and-change/article/split-of-a-fricative-merger-due-to-dialect-contact-and-societal-changes-a-sociophonetic-study-on-andalusian-spanish-readspeech/8131EE3EA2B20CB438B57F557AAC083A
Volume 32 - Issue 2 - July 2020,"Linking gender, sexuality, and affect: The linguistic and social patterning of phrase-final posttonic lengthening","This paper furthers our understanding of the social forces driving prosodic variation by reporting on production and perception studies of phrase-final posttonic lengthening in American English. Building on past research showing gender-based variation in the production of phrase-final lengthening, I show that this gender effect surfaces only when comparing straight men and straight women. Gay men and straight women lengthen their phrase-final posttonic syllables equally, and both groups do so more than straight men. A matched-guise social-perception experiment shows that listeners associate increased lengthening not only with femininity and male gayness, but with expressive affect. I suggest that the link between increased lengthening and expressive affect is forged iconically and that this link underlies the gender and sexuality patterns observed in the production study. What surfaces from this work theoretically is how variability in expressions of affect may drive correlations between gender/sexuality-based categories and linguistic variants.",https://doi.org/10.1017/S0954394520000095,https://www.cambridge.org/core/journals/language-variation-and-change/article/linking-gender-sexuality-and-affect-the-linguistic-and-social-patterning-of-phrasefinal-posttonic-lengthening/346351CE2DA67B8A527973A72D632791
Volume 32 - Issue 2 - July 2020,"New -way(s) with -ward(s): lexicalization, splitting and sociolinguistic patterns","This paper investigates the distribution of a morphological variable that has not gained much attention in the literature: adverbial -s versus -Ø. This morpheme predominantly occurs with adverbs ending in -ward(s), like forward(s), afterward(s), and inward(s), or -way(s), such as anyway(s) or halfway(s). Using a large database of sociolinguistic interviews of Ontario English and an apparent-time perspective, we show that the use of the variants changes over the twentieth century, with the adverbial suffixes -ward(s) and -way(s) behaving differently. -Ward(s) shows a trend towards -s, while most words in -way(s) increasingly take -Ø–splitting by adverbial suffix. Anyway(s) is an exception to this pattern, with a change from below towards -s, strongly conditioned by social standing. We also find evidence for lexicalization of forms without -s in phrasal verbs like to move forward. We explain these findings against the background of variationist sociolinguistic theory and principles of language change.",https://doi.org/10.1017/S0954394520000083,https://www.cambridge.org/core/journals/language-variation-and-change/article/new-ways-with-wards-lexicalization-splitting-and-sociolinguistic-patterns/EC1E176BE55EBCD60A860FDBFCE55AB3
Volume 32 - Issue 2 - July 2020,A corpus-based quantitative analysis of twelve centuries of preterite and past participle morphology in Dutch,"Germanic preterite morphology has been the subject of a bewildering number of studies, looking especially at the competition between the so-called strong inflection (operating with ablaut), and the so-called weak inflection (operating with suffixation). In this study over 250,000 observations from twelve centuries of Dutch were analyzed in a generalized linear mixed-effect model gauging the effects of a multitude of language-internal factors, ranging from various frequency measures to various form-related factors and how they interact with each other. This study confirms the well-known effects of token and type frequency, finding that formal similarities can be both a driving and conservative force in language change and demonstrates that not all members (i.e., preterites and past participles) of a verb paradigm change at the same time, which is both an effect of their frequency and their formal coherence within the paradigm.",https://doi.org/10.1017/S0954394520000101,https://www.cambridge.org/core/journals/language-variation-and-change/article/corpusbased-quantitative-analysis-of-twelve-centuries-of-preterite-and-past-participle-morphology-in-dutch/0B1CE8E9572482DF3EA4831BACB111F0
Volume 32 - Issue 1 - March 2020,td-deletion in British English: New evidence for the long-lost morphological effect,"This paper analyzes td-deletion, the process whereby coronal stops /t, d/ are deleted after a consonant at the end of the word (e.g., best, kept, missed) in the speech of 93 speakers from Manchester, stratified for age, social class, gender, and ethnicity. Prior studies of British English have not found the morphological effect—more deletion in monomorphemic mist than past tense missed—commonly observed in American English. We find this effect in Manchester and provide evidence that the rise of glottal stop replacement in postsonorant position in British English (e.g., halt, aunt) may be responsible for the reduction in the strength of this effect in British varieties. Glottaling blocks deletion, and, because the vast majority of postsonorant tokens are monomorphemic, the higher rates of monomorpheme glottaling dampens the typical effect of deletion in this context. These findings indicate organization at a higher level of the grammar, while also showing overlaid effects of factors such as style and word frequency.",https://doi.org/10.1017/S0954394520000034,https://www.cambridge.org/core/journals/language-variation-and-change/article/tddeletion-in-british-english-new-evidence-for-the-longlost-morphological-effect/4157F17EED627BA7938B11FA9D7BB816
Volume 32 - Issue 1 - March 2020,Phonological rule spreading across hostile lines: (TH)-fronting in Philadelphia,"This article examines the transfer of (TH)-fronting, a phonological feature of African American English, into the speech of white speakers from South Philadelphia. While most cases of linguistic diffusion, particularly of African American English, are found in speakers with a positive affiliation with the source dialect (e.g., Bucholtz, 1999; Cutler, 1999; Fix, 2010), here the white adopters of (TH)-fronting exhibit overtly hostile attitudes toward black neighbors. I argue that (TH)-fronting has been adopted as an index of street or masculinity by the white speakers in this study. Furthermore, I demonstrate that the phonological constraints on borrowed (TH)-fronting have been restricted and simplified from the constraints in the source dialect. Finally, I discuss how hostile interactions may play a role in language change, allowing change in dialects not only to proceed in tandem across unexpected boundaries (e.g., Milroy & Milroy, 1985), but also to be directly diffused across hostile boundaries.",https://doi.org/10.1017/S0954394519000140,https://www.cambridge.org/core/journals/language-variation-and-change/article/phonological-rule-spreading-across-hostile-lines-thfronting-in-philadelphia/6C0FC55738C87073807B11B1446A7951
Volume 32 - Issue 1 - March 2020,Variation and change in the short vowels of Delhi English,"Although the sound system of Indian English has been the object of numerous publications over the years, there has been a remarkable scarcity of variationist sociolinguistic research carried out on the topic. The present study addresses this gap by describing the short front vowels of 22 lifelong English-speaking Delhi residents born between 1948 and 1992. Focusing more specifically on variation in the relative configuration of trap /æ/, dress /ɛ/, and kit /ɪ/, the study provides apparent-time evidence for a series of interrelated changes affecting the system. Those include an ongoing lowering of /æ/ and /ɛ/, as well as age-related variation in a previously unreported allophonic split of /ɪ/. I argue that these apparent-time patterns are amenable to an analysis in terms of chain shift, and I discuss the implications of such a claim, linking the phenomenon described to similar patterns reported in various other parts of the English-speaking world.",https://doi.org/10.1017/S0954394520000010,https://www.cambridge.org/core/journals/language-variation-and-change/article/variation-and-change-in-the-short-vowels-of-delhi-english/CC7DA91F495F604FBA5436D9BAA8BF92
Volume 32 - Issue 1 - March 2020,Modeling Language Change in the St. Louis Corridor,"The St. Louis Corridor extending from Chicago, Illinois to St. Louis, Missouri has been described as a “breach” through the Midlands dialect region because of the presence of Inland North features there. Most notably, features associated with the Northern Cities Shift suddenly appeared in Corridor cities in the mid-twentieth century, but they have since largely retreated. Friedman's (2014) population study has uncovered complex relationships between the Corridor's geography and this pattern of advance and retreat, and this work elaborates on that investigation through computational simulations of the Corridor's population structure. Implementing a new network-analytic population model (Kodner & Cerezo Falco, 2018), I find support for Friedman's original hypothesis that migration into cities along Route 66 imported Inland North features into the Corridor first before it spread outward to communities farther away from the route and uncover questions about the Corridor's population that merit further study.",https://doi.org/10.1017/S0954394519000255,https://www.cambridge.org/core/journals/language-variation-and-change/article/modeling-language-change-in-the-st-louis-corridor/7B6F7DEF9EA490ACA4D5154222491BF9
Volume 32 - Issue 1 - March 2020,(æ)fter the storm: An Examination of the short-a system in Greater New Orleans,"This study examines the short-a system in Greater New Orleans (GNO) following the demographic changes and large-scale displacement that occurred after Hurricane Katrina in 2005. I provide a linguistic description of the short-a systems of 57 residents of the GNO suburb of Chalmette, half of whom relocated after the storm, and half of whom returned to their pre-Katrina homes. While many speakers demonstrate robust split systems, analysis demonstrates a shift over time toward the nasal system common throughout much of the US. Whether participants returned or relocated was not a significant predictor of short-a system; however, speakers most oriented to places outside of Chalmette may have led the change in progress, pointing to the importance of considering place orientation in contexts of speaker mobility. This study establishes that adoption of the nasal system is well underway in GNO, generating further questions about what New Orleans English will sound like as post-Katrina changes continue to develop.",https://doi.org/10.1017/S0954394520000022,https://www.cambridge.org/core/journals/language-variation-and-change/article/aefter-the-storm-an-examination-of-the-shorta-system-in-greater-new-orleans/FB8C7CD3440F46D84D3213B760681EB7
Volume 31 - Issue 3 - October 2019,Attitudes and exposure as predictors of -t/d deletion among local and expatriate children in Singapore,"Although orientation towards local norms is increasing in Singapore, Singapore English (SgE) is still perceived by some as a nonnative variety. Variation in attitudes towards SgE may shape acquisition of SgE features by both Singaporean and expatriate children, who increasingly attend government schools. The present study investigates how the -t/d deletion patterns of 60 children reflect their attitudes and school setting. Significant correlations are observed between deletion rate, attitude towards SgE, and accent self-perception among Singaporean children, highlighting that this variety is undergoing endonormative stabilization. However, while some expatriates in local schools delete more than peers in international schools, expatriate children generally do not acquire local -t/d deletion rates or constraints, regardless of familiarity with SgE or attitudes towards the variety. This gap between locals and expatriates reflects the persistence of ideologies that delegitimize SgE, as well as the growing prominence of SgE as a marker of local identity.",https://doi.org/10.1017/S095439451900022X,https://www.cambridge.org/core/journals/language-variation-and-change/article/attitudes-and-exposure-as-predictors-of-td-deletion-among-local-and-expatriate-children-in-singapore/7AA42419854E5048F3C39F0DF1F5D57A
Volume 31 - Issue 3 - October 2019,Agreement syncretization and the loss of null subjects: quantificational models for Medieval French,"This paper examines the nature of the dependency between the availability of null subjects and the “richness” of verbal subject agreement, known as Taraldsen's Generalisation (Adams, 1987; Rizzi, 1986; Roberts, 2014; Taraldsen, 1980). We present a corpus-based quantitative model of the syncretization of verbal subject agreement spanning the Medieval French period and evaluate two hypotheses relating agreement and null subjects: one relating the two as reflexes of the same grammatical property and a variational learning-based hypothesis whereby phonology-driven syncretization of agreement marking creates a learning bias against the null subject grammar. We show that only the latter approach has the potential to reconcile the intuition behind Taraldsen's Generalisation with the fact that it has proven nontrivial to formulate the notion of agreement richness in a way that would unequivocally predict whether a language has null subjects.",https://doi.org/10.1017/S0954394519000188,https://www.cambridge.org/core/journals/language-variation-and-change/article/agreement-syncretization-and-the-loss-of-null-subjects-quantificational-models-for-medieval-french/C225F62CAB318AF7208625EDBAD2213F
Volume 31 - Issue 3 - October 2019,"Vowel change across time, space, and conversational topic: the use of localized features in former mining communities","This study focuses on speakers who continue to use forms that are recessive in a community, and the phonological and conversational contexts in which recessive forms persist. Use of a local, recessive form is explored across males from four ex-mining communities in Northeast England. Older speakers, who lived in the area when the mines were open, frequently produce the localized variant of the mouth vowel, especially in speech produced during conversation about the locally resonant topic of mining, and, most frequently, in communities closest to the location with which the form is associated. Conversely, speakers born since the loss of mining and with little connection to the industry hardly produce the local form in any community or conversational topic. Exploring conversational topic provides evidence for the connections between shifting social contexts and sound change, specifically that speakers retain otherwise recessive features in speech concerning topics which are locally resonant to them.",https://doi.org/10.1017/S0954394519000231,https://www.cambridge.org/core/journals/language-variation-and-change/article/vowel-change-across-time-space-and-conversational-topic-the-use-of-localized-features-in-former-mining-communities/55249283A3D79B0B0977E99D1A0C6611
Volume 31 - Issue 3 - October 2019,Preschool children's categorization of speakers by regional accent,"This study reports on an experiment with twenty preschool children (3;1–4;7) in York, UK to investigate the earliest stage of children's socioperceptual development. The children discriminate between different groups of speakers based on their pronunciation of phonological regional variables diagnostic of the North and South of England. An improvement across the age range uncovers a developmental stage when children are able to interpret variation as socially meaningful. This is comparable with developments in sociolinguistic production during the preschool years, as previous studies have found. Three measures associated with linguistic input (children's age and gender, local versus nonlocal parents) have an impact on the children's performance. The results are interpreted through an exemplar theoretic account, highlighting the role of input and the combined storing and accessing of both linguistic and social information.",https://doi.org/10.1017/S0954394519000176,https://www.cambridge.org/core/journals/language-variation-and-change/article/preschool-childrens-categorization-of-speakers-by-regional-accent/EB828836E86D8C4E45D98A04054E0256
Volume 31 - Issue 3 - October 2019,Dialect loss in the Russian North: Modeling change across variables,"We analyze the dynamics of dialect loss in a cluster of villages in rural northern Russia based on a corpus of transcribed interviews, the Ustja River Basin Corpus. Eleven phonological and morphological variables are analyzed across 33 speakers born between 1922 and 1996 in a series of logistic regression models. We propose three characteristics for a comparison of the rate of loss of different variables: initial level, steepness, and turning point. We show that the dynamics of loss differs significantly across variables and discuss possible reasons for such differences, including perceptual salience, initial variation in the dialect, and convergence with regionally or socially defined varieties of Russian. In conclusion, we discuss the pros and cons of logistic regression as an approach to quantitative modeling of dialect loss. Our paper contributes to the study and documentation of Russian dialects, most of which are on the verge of extinction.",https://doi.org/10.1017/S0954394519000243,https://www.cambridge.org/core/journals/language-variation-and-change/article/dialect-loss-in-the-russian-north-modeling-change-across-variables/24F94832D71090B2B8FF96100628CBF4
